041-6632        Samsung Printer Software Update                    2.5        2012-08-08 [] (Deprecated)
041-8539        Lexmark Printer Software Update                    2.11       2012-12-11 [] (Deprecated)
091-5194        Fuji Xerox Printer Software Update                 2.4        2013-05-23 [] (Deprecated)
091-6113        Voice Update - Luca                                3.0.5      2013-07-16 [] (Deprecated)
091-6118        Voice Update - Ellen                               3.0.5      2013-07-16 [] (Deprecated)
091-6134        Voice Update - Oskar                               3.0.5      2013-07-16 [] (Deprecated)
091-6137        Voice Update - Yelda                               3.0.5      2013-07-16 [] (Deprecated)
091-6132        Voice Update - Laura                               3.0.5      2013-07-16 [] (Deprecated)
091-7159        Voice Update - Markus                              3.0.5      2013-07-16 [] (Deprecated)
091-7163        Voice Update - Susan                               3.0.5      2013-07-16 [] (Deprecated)
091-6079        Voice Update - Sara                                3.0.5      2013-07-16 [] (Deprecated)
091-7161        Voice Update - Oliver                              3.0.5      2013-07-16 [] (Deprecated)
091-6085        Voice Update - Karen                               3.0.5      2013-07-16 [] (Deprecated)
091-6135        Voice Update - Kanya                               3.0.5      2013-07-16 [] (Deprecated)
091-6133        Voice Update - Alva                                3.0.5      2013-07-16 [] (Deprecated)
091-7160        Voice Update - Kate                                3.0.5      2013-07-16 [] (Deprecated)
091-6092        Voice Update - Samantha                            3.0.5      2013-07-16 [] (Deprecated)
091-6094        Voice Update - Tessa                               3.0.5      2013-07-16 [] (Deprecated)
091-6103        Voice Update - Satu                                3.0.5      2013-07-16 [] (Deprecated)
091-6109        Voice Update - Mariska                             3.0.5      2013-07-16 [] (Deprecated)
091-6131        Voice Update - Yuri                                3.0.5      2013-07-16 [] (Deprecated)
091-6112        Voice Update - Federica                            3.0.5      2013-07-16 [] (Deprecated)
091-6111        Voice Update - Alice                               3.0.5      2013-07-16 [] (Deprecated)
091-6128        Voice Update - Joana                               3.0.5      2013-07-16 [] (Deprecated)
091-6120        Voice Update - Xander                              3.0.5      2013-07-16 [] (Deprecated)
091-6096        Voice Update - Diego                               3.0.5      2013-07-16 [] (Deprecated)
091-6097        Voice Update - Carlos                              3.0.5      2013-07-16 [] (Deprecated)
091-6098        Voice Update - Soledad                             3.0.5      2013-07-16 [] (Deprecated)
091-6115        Voice Update - Kyoko                               3.0.5      2013-07-16 [] (Deprecated)
091-6104        Voice Update - Amelie                              3.0.5      2013-07-16 [] (Deprecated)
091-6105        Voice Update - Nicolas                             3.0.5      2013-07-16 [] (Deprecated)
091-6106        Voice Update - Audrey                              3.0.5      2013-07-16 [] (Deprecated)
091-6101        Voice Update - Juan                                3.0.5      2013-07-16 [] (Deprecated)
091-6102        Voice Update - Paulina                             3.0.5      2013-07-16 [] (Deprecated)
091-6108        Voice Update - Thomas                              3.0.5      2013-07-16 [] (Deprecated)
091-6110        Voice Update - Damayanti                           3.0.5      2013-07-16 [] (Deprecated)
091-6119        Voice Update - Claire                              3.0.5      2013-07-16 [] (Deprecated)
091-6121        Voice Update - Henrik                              3.0.5      2013-07-16 [] (Deprecated)
